snapshot_date,match_date,winner,loser,player_1,player_2,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,bookmaker,actual_winner,p1_is_winner,p2_is_winner
2023-07-03,2023-07-03,Caroline Garcia,Katie Volynets,Caroline Garcia,Katie Volynets,1.11,6.5,0.9009009009009008,0.1538461538461538,LiveScore Bet,Caroline Garcia,True,False
2023-07-03,2023-07-03,Nadia Podoroska,Tereza Martincova,Nadia Podoroska,Tereza Martincova,3.35,1.41,0.2985074626865671,0.7092198581560284,Betfair,Nadia Podoroska,True,False
2023-07-03,2023-07-03,Victoria Azarenka,Yue Yuan,Victoria Azarenka,Yue Yuan,1.22,4.15,0.819672131147541,0.2409638554216867,SportsBet,Victoria Azarenka,True,False
2023-07-03,2023-07-03,Magda Linette,Jil Teichmann,Jil Teichmann,Magda Linette,2.3,1.75,0.4347826086956522,0.5714285714285714,Betfair,Magda Linette,False,True
2023-07-03,2023-07-03,Lesia Tsurenko,Claire Liu,Claire Liu,Lesia Tsurenko,3.4,1.39,0.2941176470588235,0.7194244604316548,Betfair,Lesia Tsurenko,False,True
2023-07-03,2023-07-03,Iga Swiatek,Lin Zhu,Iga Swiatek,Lin Zhu,1.04,13.0,0.9615384615384616,0.0769230769230769,Ladbrokes,Iga Swiatek,True,False
2023-07-03,2023-07-03,Cristina Bucsa,Kamilla Rakhimova,Cristina Bucsa,Kamilla Rakhimova,1.71,2.38,0.5847953216374269,0.4201680672268907,Betfair,Cristina Bucsa,True,False
2023-07-03,2023-07-03,Ana Bogdan,Liudmila Samsonova,Ana Bogdan,Liudmila Samsonova,3.25,1.33,0.3076923076923077,0.7518796992481203,888sport,Ana Bogdan,True,False
2023-07-03,2023-07-03,Barbora Strycova,Maryna Zanevska,Barbora Strycova,Maryna Zanevska,1.61,2.32,0.6211180124223602,0.4310344827586207,Marathon Bet,Barbora Strycova,True,False
2023-07-03,2023-07-03,Veronika Kudermetova,Kaia Kanepi,Kaia Kanepi,Veronika Kudermetova,10.0,1.1,0.1,0.9090909090909092,Betfair,Veronika Kudermetova,False,True
2023-07-03,2023-07-03,Petra Martic,Linda Fruhvirtova,Linda Fruhvirtova,Petra Martic,2.4,1.53,0.4166666666666667,0.6535947712418301,Paddy Power,Petra Martic,False,True
2023-07-03,2023-07-03,Jessica Pegula,Lauren Davis,Jessica Pegula,Lauren Davis,1.19,4.98,0.8403361344537815,0.2008032128514056,BetOnline.ag,Jessica Pegula,True,False
2023-07-03,2023-07-03,Diane Parry,Harriet Dart,Diane Parry,Harriet Dart,3.35,1.39,0.2985074626865671,0.7194244604316548,Betfair,Diane Parry,True,False
2023-07-03,2023-07-03,Sofia Kenin,Coco Gauff,Coco Gauff,Sofia Kenin,1.24,3.95,0.8064516129032259,0.2531645569620253,SportsBet,Sofia Kenin,False,True
2023-07-03,2023-07-03,Elina Svitolina,Venus Williams,Elina Svitolina,Venus Williams,1.49,2.63,0.6711409395973155,0.3802281368821293,Unibet,Elina Svitolina,True,False
2023-07-03,2023-07-03,Danielle Collins,Julia Grabher,Danielle Collins,Julia Grabher,1.3,3.4,0.7692307692307692,0.2941176470588235,Paddy Power,Danielle Collins,True,False
2023-07-03,2023-07-03,Marie Bouzkova,Simona Waltert,Marie Bouzkova,Simona Waltert,1.3,3.4,0.7692307692307692,0.2941176470588235,Coral,Marie Bouzkova,True,False
2023-07-03,2023-07-03,Leylah Fernandez,Kateryna Baindl,Kateryna Baindl,Leylah Fernandez,4.2,1.22,0.238095238095238,0.819672131147541,William Hill,Leylah Fernandez,False,True
2023-07-03,2023-07-03,Sara Sorribes Tormo,Martina Trevisan,Martina Trevisan,Sara Sorribes Tormo,3.4,1.3,0.2941176470588235,0.7692307692307692,Ladbrokes,Sara Sorribes Tormo,False,True
2023-07-03,2023-07-03,Marketa Vondrousova,Peyton Stearns,Marketa Vondrousova,Peyton Stearns,1.23,4.2,0.8130081300813008,0.238095238095238,Betr,Marketa Vondrousova,True,False
2023-07-03,2023-07-03,Rebeka Masarova,Mayar Sherif,Mayar Sherif,Rebeka Masarova,1.96,1.93,0.5102040816326531,0.5181347150259068,Pinnacle,Rebeka Masarova,False,True
2023-07-03,2023-07-03,Katerina Siniakova,Qinwen Zheng,Katerina Siniakova,Qinwen Zheng,2.0,1.83,0.5,0.5464480874316939,Virgin Bet,Katerina Siniakova,True,False
2023-07-03,2023-07-03,Belinda Bencic,Katie Swan,Belinda Bencic,Katie Swan,1.48,2.98,0.6756756756756757,0.3355704697986577,Betfair,Belinda Bencic,True,False
