market_id,player_1,player_2,odds_player_1,odds_player_2,match_id,actual_winner,winner_name,loser_name,match_date,selection_id_1,selection_id_2
1.230219849,Viktorija Golubic,Jule Niemeier,,,587b450cd0,Jule Niemeier,Jule Niemeier,Viktorija Golubic,2024-07-01,7283232,11173943
1.230219852,Constant Lestienne,Lorenzo Musetti,,,ddb31b6fa6,,,,,7797931,13834991
1.230219853,Radu Albot,Hubert Hurkacz,,,8cf7ec7b7a,,,,,6603898,19924838
1.230220007,Gael Monfils,Adrian Mannarino,,,d400f2606c,,,,,2257300,3066621
1.230220014,Roberto Carballes Baena,Alexander Zverev,,,4e139ec591,,,,,7185192,19924823
1.230220292,Lulu Sun,Qinwen Zheng,,,68c89f498f,Lulu Sun,Lulu Sun,Qinwen Zheng,2024-07-01,17311444,18848380
1.23022039,Danielle Collins,Clara Tauson,,,de8d0e1dfa,Danielle Collins,Danielle Collins,Clara Tauson,2024-07-01,9626845,18848679
1.230220485,Yannick Hanfmann,Jannik Sinner,,,73e3f0a09a,,,,,8639275,10372253
1.230220817,Karen Khachanov,Aslan Karatsev,,,bce091aa3a,,,,,7659623,7659748
1.230220867,Carlos Alcaraz,Mark Lajal,,,cda7a26ee5,,,,,25215583,40594116
1.230221348,Nadia Podoroska,Dayana Yastremska,,,3081907aa6,Dayana Yastremska,Dayana Yastremska,Nadia Podoroska,2024-07-01,9042349,9634670
1.230221699,Thiago Seyboth Wild,Paul Jubb,,,b3f362a523,,,,,9632015,12085604
1.230221859,Shuai Zhang,Daria Kasatkina,,,07759fc7e2,Daria Kasatkina,Daria Kasatkina,Shuai Zhang,2024-07-01,2386498,7795290
1.230221892,Thanasi Kokkinakis,Felix Auger-Aliassime,,,a1817a71d3,,,,,8172416,12210252
1.230222235,Greet Minnen,Heather Watson,,,b753c6cba0,Greet Minnen,Greet Minnen,Heather Watson,2024-07-01,10108736,51567149
1.230222664,Arthur Rinderknech,Kei Nishikori,,,faed31289b,,,,,9953233,19924834
1.230222676,Cristian Garin,Juncheng Shang,,,5113ff8dd8,,,,,23814703,38901959
1.230222799,Lauren Davis,Camila Osorio,,,e818ab6928,Camila Osorio,Camila Osorio,Lauren Davis,2024-07-01,4176991,11024005
