match_id,player,odds,pred_prob,ev,actual_winner,won
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.32832832655272304,0.9699699593163382,Tommy Paul,False
,Stefano Travaglia,6.0,0.3457712695119314,1.0746276170715885,Tommy Paul,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.32832832655272304,0.9699699593163382,Dominic Stricker,False
,Alexei Popyrin,6.0,0.3457712695119314,1.0746276170715885,Dominic Stricker,False
